id,category_id,question_code,question_number,question_text,check_box,block_number,block_text,option_select,option_code,option_text,response_message,companion_advice,tone_tag,next_question_id,version,created_at
1,1,1_1,1,What do you think is the most important criterion for measuring a child’s success in life?,True,1,Success,A,1_1_A,A. Self-realization and interest development,,,,,1,2025-10-06 07:18:54.715860
2,1,1_1,1,What do you think is the most important criterion for measuring a child’s success in life?,True,1,Success,B,1_1_B,B. Family happiness and health,,,,,1,2025-10-06 07:18:54.746797
3,1,1_1,1,What do you think is the most important criterion for measuring a child’s success in life?,True,1,Success,C,1_1_C,C. Contribution to society/community,,,,,1,2025-10-06 07:18:54.775258
4,1,1_1,1,What do you think is the most important criterion for measuring a child’s success in life?,True,1,Success,D,1_1_D,D. Academic/career achievements,,,,,1,2025-10-06 07:18:54.805101
5,1,1_1,1,What do you think is the most important criterion for measuring a child’s success in life?,True,1,Success,E,1_1_E,E. Economic income level,,,,,1,2025-10-06 07:18:54.834312
6,1,1_1,1,What do you think is the most important criterion for measuring a child’s success in life?,True,1,Success,F,1_1_F,F. Social status and connections,,,,,1,2025-10-06 07:18:54.862055
7,1,1_1,1,What do you think is the most important criterion for measuring a child’s success in life?,True,1,Success,OTHER,1_1_OTHER,Other,,,,,1,2025-10-06 07:18:54.891517
8,1,1_2,2,"What do you mean by ""academic success""? (Pick up to 2)",True,1,Success,A,1_2_A,A.  Found their passion and devoted themselves to it,"A. What a relief and joy when our child finds something that truly draws them in. Passion creates lasting motivation. When we encourage exploration and teach real-world skills alongside it, we help children build lives that align with who they are — something we will all feel proud of as it unfolds.",,,,1,2025-10-06 07:18:54.920389
9,1,1_2,2,"What do you mean by ""academic success""? (Pick up to 2)",True,1,Success,B,1_2_B,B. Attended Ivy League school,"B. What pride — and what tenderness — when our child reaches a place so many dream of. It takes more than intelligence to thrive there; it takes balance, self-knowledge, and heart. When we support curiosity and well-being alongside ambition, we will see our children grow into grounded, fulfilled learners.",,,,1,2025-10-06 07:18:54.949357
10,1,1_2,2,"What do you mean by ""academic success""? (Pick up to 2)",True,1,Success,C,1_2_C,C. Prepared for a career in technology,"C.What courage and curiosity when our child steps into a field that keeps reinventing itself. The tech world keeps changing, and so do the skills it rewards. When we help children blend creativity, resilience, and curiosity with their technical abilities, they will be ready not just to adapt — but to lead with imagination.",,,,1,2025-10-06 07:18:54.976368
11,1,1_2,2,"What do you mean by ""academic success""? (Pick up to 2)",True,1,Success,D,1_2_D,D. Medical school or law school,"D. What admiration we feel when our child commits to a path that asks so much of them. Medicine and law demand years of focus, empathy, and endurance. When we see them take on that challenge with care and purpose, we can trust they will find meaning in the lives they touch.",,,,1,2025-10-06 07:18:55.005972
12,1,1_2,2,"What do you mean by ""academic success""? (Pick up to 2)",True,1,Success,E,1_2_E,"E. Took what they learned and created something new (art, business, invention)","E. What awe when our child turns knowledge into something their own. Creation asks for courage — to imagine, to risk, to build. When we notice those small beginnings, we can see their confidence grow, and know that what they do will ripple outward in ways that matter.",,,,1,2025-10-06 07:18:55.034859
13,1,1_2,2,"What do you mean by ""academic success""? (Pick up to 2)",True,1,Success,OTHER,1_2_OTHER,Other,,,,,1,2025-10-06 07:18:55.061980
14,1,1_3,3,Does your child like school?,False,1,Success,A,1_3_A,A. Mostly yes,,,,,1,2025-10-06 07:18:55.089457
15,1,1_3,3,Does your child like school?,False,1,Success,B,1_3_B,B. Mostly no,,,,,1,2025-10-06 07:18:55.117998
16,1,1_4,4,Does your child like study?,False,1,Success,A,1_4_A,A. Yes,,,,,1,2025-10-06 07:18:55.145216
17,1,1_4,4,Does your child like study?,False,1,Success,B,1_4_B,B. Not really,,,,,1,2025-10-06 07:18:55.173629
18,1,1_4,4,Does your child like study?,False,1,Success,C,1_4_C,C. Depending on the topic,,,,,1,2025-10-06 07:18:55.201688
19,1,1_5,5,Do you like study?,False,1,Success,A,1_5_A,A. Yes,,,,,1,2025-10-06 07:18:55.229343
20,1,1_5,5,Do you like study?,False,1,Success,B,1_5_B,B. Not really,,,,,1,2025-10-06 07:18:55.257215
21,1,1_5,5,Do you like study?,False,1,Success,C,1_5_C,C. Depending on the topic,,,,,1,2025-10-06 07:18:55.284109
22,1,1_6,6,Did you like school?,False,1,Success,A,1_6_A,A. Mostly yes,,,,,1,2025-10-06 07:18:55.313315
23,1,1_6,6,Did you like school?,False,1,Success,B,1_6_B,B. Mostly no,,,,,1,2025-10-06 07:18:55.342369
24,1,1_7,7,What are you most worried about in your child’s future? (Pick up to 2),True,2,Future,A,1_7_A,"A. Job security and adapting to future technology, e.g. AI",,,,,1,2025-10-06 07:18:55.370675
25,1,1_7,7,What are you most worried about in your child’s future? (Pick up to 2),True,2,Future,B,1_7_B,B. Environment and climate,,,,,1,2025-10-06 07:18:55.399071
26,1,1_7,7,What are you most worried about in your child’s future? (Pick up to 2),True,2,Future,C,1_7_C,C. Safety and stability,,,,,1,2025-10-06 07:18:55.426881
27,1,1_7,7,What are you most worried about in your child’s future? (Pick up to 2),True,2,Future,OTHER,1_7_OTHER,Other,,,,,1,2025-10-06 07:18:55.455315
28,1,1_8,8,Do you think governments take care of the needs of young people?,False,2,Future,A,1_8_A,A. Mostly yes,,,,,1,2025-10-06 07:18:55.483863
29,1,1_8,8,Do you think governments take care of the needs of young people?,False,2,Future,B,1_8_B,B. Mostly no,,,,,1,2025-10-06 07:18:55.512085
30,1,1_9,9,Do today’s youth have a real voice in shaping the future?,False,2,Future,A,1_9_A,A. Mostly yes,,,,,1,2025-10-06 07:18:55.542010
31,1,1_9,9,Do today’s youth have a real voice in shaping the future?,False,2,Future,B,1_9_B,B. Mostly no,,,,,1,2025-10-06 07:18:55.570046
32,1,1_10,10,"If your child couldn’t find a stable job in the future, how would you try to help? (Pick up to 2)",True,2,Future,A,1_10_A,A. Let them live at home as long as needed,,,,,1,2025-10-06 07:18:55.599555
33,1,1_10,10,"If your child couldn’t find a stable job in the future, how would you try to help? (Pick up to 2)",True,2,Future,B,1_10_B,"B. Offer financial support (cash, bills, food, etc.)",,,,,1,2025-10-06 07:18:55.627450
34,1,1_10,10,"If your child couldn’t find a stable job in the future, how would you try to help? (Pick up to 2)",True,2,Future,C,1_10_C,C. Help them retrain or go back to school,,,,,1,2025-10-06 07:18:55.654723
35,1,1_10,10,"If your child couldn’t find a stable job in the future, how would you try to help? (Pick up to 2)",True,2,Future,D,1_10_D,D. They are on their own after they are 18,,,,,1,2025-10-06 07:18:55.682162
36,1,1_10,10,"If your child couldn’t find a stable job in the future, how would you try to help? (Pick up to 2)",True,2,Future,OTHER,1_10_OTHER,Other,,,,,1,2025-10-06 07:18:55.711348
37,1,1_11,11,What do you think is the most effective way for adults to support the future of young people? (Pick up to 2),True,2,Future,A,1_11_A,A. Listen more to what youth are saying,,,,,1,2025-10-06 07:18:55.740270
38,1,1_11,11,What do you think is the most effective way for adults to support the future of young people? (Pick up to 2),True,2,Future,B,1_11_B,B. Vote for policies that support young people,,,,,1,2025-10-06 07:18:55.768742
39,1,1_11,11,What do you think is the most effective way for adults to support the future of young people? (Pick up to 2),True,2,Future,C,1_11_C,"C. Support schools, mental health, or local programs",,,,,1,2025-10-06 07:18:55.797700
40,1,1_11,11,What do you think is the most effective way for adults to support the future of young people? (Pick up to 2),True,2,Future,D,1_11_D,D. I’m not sure what helps,,,,,1,2025-10-06 07:18:55.825484
